"filename", "language", "Shell Script", "YAML", "JavaScript", "SQL", "Markdown", "JSON", "comment", "blank", "total"
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/configSequelize.js", "JavaScript", 0, 0, -11, 0, 0, 0, 0, -1, -12
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/dataTestIds.js", "JavaScript", 0, 0, -73, 0, 0, 0, 0, -1, -74
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/inserts.js", "JavaScript", 0, 0, -59, 0, 0, 0, -12, -20, -91
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/logInto.js", "JavaScript", 0, 0, -30, 0, 0, 0, 0, -16, -46
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/query.js", "JavaScript", 0, 0, -17, 0, 0, 0, 0, -1, -18
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/testCoverage.js", "JavaScript", 0, 0, -21, 0, 0, 0, 0, -7, -28
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/urls.js", "JavaScript", 0, 0, -11, 0, 0, 0, 0, -3, -14
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/users.js", "JavaScript", 0, 0, -34, 0, 0, 0, 0, -1, -35
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/util.js", "JavaScript", 0, 0, -86, 0, 0, 0, -2, -24, -112
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/validateLeaderboard.js", "JavaScript", 0, 0, -75, 0, 0, 0, 0, -16, -91
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/validateMatches.js", "JavaScript", 0, 0, -39, 0, 0, 0, 0, -11, -50
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/waitForResponse.js", "JavaScript", 0, 0, -77, 0, 0, 0, 0, -10, -87
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/apps_install.sh", "Shell Script", -10, 0, 0, 0, 0, 0, -1, -3, -14
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/data-testid.md", "Markdown", 0, 0, 0, 0, -51, 0, 0, -11, -62
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/db.example.sql", "SQL", 0, 0, 0, -51, 0, 0, -18, -18, -87
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/dockerfile_denylist.sh", "Shell Script", -32, 0, 0, 0, 0, 0, -1, -6, -39
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/jest.config.js", "JavaScript", 0, 0, -4, 0, 0, 0, -4, 0, -8
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/package-lock.json", "JSON", 0, 0, 0, 0, 0, -17891, 0, -1, -17892
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/package.json", "JSON", 0, 0, 0, 0, 0, -40, 0, -1, -41
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/pull_request_template.md", "Markdown", 0, 0, 0, 0, -36, 0, 0, -13, -49
"/mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/trybe.yml", "YAML", 0, -22, 0, 0, 0, 0, 0, -1, -23
"Total", "-", -42, -122, -4418, -51, -2248, -18215, -38, -801, -25935
